country,year,emissions,v2x_libdem,v2pstpar_ord,v2x_regime,region,gdp_pc,regime
Estonia,2002,14900,0.815,Unified coalition control,Liberal Democracy,Europe,5344.8779,Liberal Democracy
Estonia,2003,17100,0.812,Unified coalition control,Liberal Democracy,Europe,7206.1666,Liberal Democracy
Estonia,2004,17300,0.811,Unified coalition control,Liberal Democracy,Europe,8912.9922,Liberal Democracy
Estonia,2005,16800,0.811,Unified coalition control,Liberal Democracy,Europe,10406.3967,Liberal Democracy
Estonia,2006,16200,0.811,Unified coalition control,Liberal Democracy,Europe,12631.5681,Liberal Democracy
Estonia,2007,18700,0.811,Unified coalition control,Liberal Democracy,Europe,16741.9392,Liberal Democracy
Estonia,2008,17500,0.813,Unified coalition control,Liberal Democracy,Europe,18227.1195,Liberal Democracy
Estonia,2009,14600,0.812,Unified coalition control,Liberal Democracy,Europe,14794.9711,Liberal Democracy
Estonia,2010,18100,0.826,Unified coalition control,Liberal Democracy,Europe,14784.3847,Liberal Democracy
Estonia,2011,18600,0.822,Unified coalition control,Liberal Democracy,Europe,17624.0446,Liberal Democracy
Estonia,2012,17600,0.821,Unified coalition control,Liberal Democracy,Europe,17534.4214,Liberal Democracy
Estonia,2013,19900,0.822,Unified coalition control,Liberal Democracy,Europe,19174.1003,Liberal Democracy
Estonia,2014,19500,0.827,Unified coalition control,Liberal Democracy,Europe,20367.1032,Liberal Democracy
Ethiopia,1991,2980,0.081,Unified coalition control,Closed Autocracy,Africa,271.3944,Closed Autocracy
Ethiopia,1992,2970,0.099,Unified coalition control,Closed Autocracy,Africa,204.0502,Closed Autocracy
Ethiopia,1993,3030,0.101,Unified coalition control,Closed Autocracy,Africa,165.6932,Closed Autocracy
Ethiopia,1994,2240,0.088,Unified coalition control,Electoral Autocracy,Africa,125.5496,Electoral Autocracy
Ethiopia,1995,2560,0.104,Unified coalition control,Electoral Autocracy,Africa,134.3430,Electoral Autocracy
Ethiopia,1996,2860,0.115,Unified coalition control,Electoral Autocracy,Africa,145.1669,Electoral Autocracy
Ethiopia,1997,3050,0.115,Unified coalition control,Electoral Autocracy,Africa,141.5086,Electoral Autocracy
Ethiopia,1998,3220,0.115,Unified coalition control,Electoral Autocracy,Africa,125.0761,Electoral Autocracy
Ethiopia,1999,3160,0.115,Unified coalition control,Electoral Autocracy,Africa,119.6841,Electoral Autocracy
Ethiopia,2000,3550,0.114,Unified coalition control,Electoral Autocracy,Africa,124.4608,Electoral Autocracy
Ethiopia,2001,4350,0.115,Unified coalition control,Electoral Autocracy,Africa,120.7658,Electoral Autocracy
Ethiopia,2002,4520,0.115,Unified coalition control,Electoral Autocracy,Africa,111.9272,Electoral Autocracy
Ethiopia,2003,4990,0.114,Unified coalition control,Electoral Autocracy,Africa,119.4904,Electoral Autocracy
Ethiopia,2004,5300,0.113,Unified coalition control,Electoral Autocracy,Africa,136.4663,Electoral Autocracy
Ethiopia,2005,5120,0.117,Unified coalition control,Electoral Autocracy,Africa,162.4327,Electoral Autocracy
Ethiopia,2006,5500,0.113,Unified coalition control,Electoral Autocracy,Africa,194.6874,Electoral Autocracy
Ethiopia,2007,6010,0.116,Unified coalition control,Electoral Autocracy,Africa,244.2861,Electoral Autocracy
Ethiopia,2008,6580,0.116,Unified coalition control,Electoral Autocracy,Africa,326.4368,Electoral Autocracy
Ethiopia,2009,6630,0.115,Unified coalition control,Electoral Autocracy,Africa,380.5690,Electoral Autocracy
Ethiopia,2010,6590,0.113,Unified coalition control,Electoral Autocracy,Africa,341.5541,Electoral Autocracy
Ethiopia,2011,7730,0.110,Unified coalition control,Electoral Autocracy,Africa,354.4796,Electoral Autocracy
Ethiopia,2012,8560,0.109,Unified coalition control,Electoral Autocracy,Africa,467.0779,Electoral Autocracy
Ethiopia,2013,10600,0.107,Unified coalition control,Electoral Autocracy,Africa,499.5315,Electoral Autocracy
Ethiopia,2014,11600,0.107,Unified coalition control,Electoral Autocracy,Africa,566.9264,Electoral Autocracy
Fiji,1991,671,0.151,Unified party control,Closed Autocracy,Western Pacific,1881.7618,Closed Autocracy
Fiji,1992,748,0.282,Unified party control,Electoral Autocracy,Western Pacific,2058.3796,Electoral Autocracy
Fiji,1993,752,0.410,Unified party control,Electoral Democracy,Western Pacific,2167.0955,Electoral Democracy
Fiji,1994,748,0.401,Unified party control,Electoral Democracy,Western Pacific,2384.7265,Electoral Democracy
Fiji,1995,763,0.401,Unified party control,Electoral Democracy,Western Pacific,2540.9809,Electoral Democracy
Fiji,1996,821,0.402,Unified party control,Electoral Democracy,Western Pacific,2713.8278,Electoral Democracy
Fiji,1997,792,0.423,Unified party control,Electoral Democracy,Western Pacific,2636.6722,Electoral Democracy
Fiji,1998,770,0.423,Unified party control,Electoral Democracy,Western Pacific,2066.0689,Electoral Democracy
Fiji,1999,785,0.422,Unified party control,Electoral Democracy,Western Pacific,2401.6864,Electoral Democracy
Fiji,2000,843,0.145,Divided party control,Closed Autocracy,Western Pacific,2069.3175,Closed Autocracy
Fiji,2001,1060,0.192,Unified party control,Closed Autocracy,Western Pacific,2030.2464,Closed Autocracy
Fiji,2002,891,0.384,Unified party control,Electoral Democracy,Western Pacific,2248.7142,Electoral Democracy
Fiji,2003,1050,0.384,Unified party control,Electoral Democracy,Western Pacific,2818.9139,Electoral Democracy
Fiji,2004,1350,0.384,Unified party control,Electoral Democracy,Western Pacific,3311.1599,Electoral Democracy
Fiji,2005,1100,0.384,Unified party control,Electoral Democracy,Western Pacific,3627.6329,Electoral Democracy
Fiji,2006,1220,0.320,Unified party control,Electoral Autocracy,Western Pacific,3715.9327,Electoral Autocracy
Fiji,2007,1160,0.115,Unified party control,Closed Autocracy,Western Pacific,4040.1521,Closed Autocracy
Fiji,2008,895,0.115,Unified party control,Closed Autocracy,Western Pacific,4167.6949,Closed Autocracy
Fiji,2009,792,0.105,Unified party control,Closed Autocracy,Western Pacific,3362.8205,Closed Autocracy
Fiji,2010,1220,0.109,Unified party control,Closed Autocracy,Western Pacific,3652.5359,Closed Autocracy
Fiji,2011,1090,0.109,Unified party control,Closed Autocracy,Western Pacific,4371.4474,Closed Autocracy
Fiji,2012,1060,0.110,Unified party control,Closed Autocracy,Western Pacific,4591.5770,Closed Autocracy
Fiji,2013,1150,0.113,Unified party control,Closed Autocracy,Western Pacific,4840.7273,Closed Autocracy
Fiji,2014,1170,0.157,Unified party control,Electoral Autocracy,Western Pacific,5605.6091,Electoral Autocracy
Finland,1991,53700,0.822,Divided party control,Liberal Democracy,Europe,25484.7393,Liberal Democracy
Finland,1992,47500,0.821,Divided party control,Liberal Democracy,Europe,22319.0595,Liberal Democracy
Finland,1993,50400,0.832,Divided party control,Liberal Democracy,Europe,17608.8124,Liberal Democracy
Finland,1994,57200,0.836,Divided party control,Liberal Democracy,Europe,20301.3331,Liberal Democracy
Finland,1995,52700,0.834,Divided party control,Liberal Democracy,Europe,26271.5998,Liberal Democracy
Finland,1996,61300,0.833,Divided party control,Liberal Democracy,Europe,25783.4505,Liberal Democracy
Finland,1997,59900,0.833,Divided party control,Liberal Democracy,Europe,24691.8728,Liberal Democracy
Finland,1998,57000,0.833,Divided party control,Liberal Democracy,Europe,26009.2695,Liberal Democracy
Finland,1999,55400,0.833,Divided party control,Liberal Democracy,Europe,26177.3480,Liberal Democracy
Finland,2000,52400,0.833,Unified coalition control,Liberal Democracy,Europe,24285.4668,Liberal Democracy
Finland,2001,57100,0.833,Unified coalition control,Liberal Democracy,Europe,24946.1892,Liberal Democracy
Finland,2002,61700,0.833,Unified coalition control,Liberal Democracy,Europe,26869.6749,Liberal Democracy
Finland,2003,69100,0.834,Unified coalition control,Liberal Democracy,Europe,32855.1326,Liberal Democracy
Finland,2004,67100,0.834,Unified coalition control,Liberal Democracy,Europe,37702.8454,Liberal Democracy
Finland,2005,54600,0.832,Unified coalition control,Liberal Democracy,Europe,39040.2889,Liberal Democracy
Finland,2006,66200,0.844,Unified coalition control,Liberal Democracy,Europe,41188.0937,Liberal Democracy
Finland,2007,64000,0.845,Unified coalition control,Liberal Democracy,Europe,48414.8451,Liberal Democracy
Finland,2008,56500,0.845,Unified coalition control,Liberal Democracy,Europe,53554.0389,Liberal Democracy
Finland,2009,53100,0.845,Unified coalition control,Liberal Democracy,Europe,47293.9928,Liberal Democracy
Finland,2010,62100,0.845,Unified coalition control,Liberal Democracy,Europe,46459.9733,Liberal Democracy
Finland,2011,56800,0.846,Unified coalition control,Liberal Democracy,Europe,51081.9977,Liberal Democracy
Finland,2012,49100,0.847,Unified coalition control,Liberal Democracy,Europe,47710.7902,Liberal Democracy
Finland,2013,47200,0.855,Unified coalition control,Liberal Democracy,Europe,49878.0432,Liberal Democracy
Finland,2014,47300,0.855,Unified coalition control,Liberal Democracy,Europe,50260.2999,Liberal Democracy
France,1991,391000,0.803,Unified coalition control,Liberal Democracy,Europe,21675.0650,Liberal Democracy
France,1992,366000,0.804,Unified coalition control,Liberal Democracy,Europe,23813.7123,Liberal Democracy
France,1993,360000,0.800,Unified coalition control,Liberal Democracy,Europe,22380.1078,Liberal Democracy
France,1994,338000,0.804,Unified coalition control,Liberal Democracy,Europe,23496.5202,Liberal Democracy
France,1995,349000,0.802,Unified coalition control,Liberal Democracy,Europe,26890.2176,Liberal Democracy
France,1996,375000,0.807,Unified coalition control,Liberal Democracy,Europe,26871.8313,Liberal Democracy
France,1997,352000,0.804,Unified coalition control,Liberal Democracy,Europe,24228.9464,Liberal Democracy
France,1998,377000,0.802,Unified coalition control,Liberal Democracy,Europe,24974.2739,Liberal Democracy
France,1999,369000,0.802,Unified coalition control,Liberal Democracy,Europe,24673.2031,Liberal Democracy
France,2000,362000,0.802,Unified coalition control,Liberal Democracy,Europe,22364.0294,Liberal Democracy
France,2001,378000,0.802,Unified coalition control,Liberal Democracy,Europe,22433.5550,Liberal Democracy
France,2002,375000,0.803,Divided party control,Liberal Democracy,Europe,24177.3356,Liberal Democracy
France,2003,381000,0.803,Divided party control,Liberal Democracy,Europe,29568.3888,Liberal Democracy
France,2004,384000,0.803,Divided party control,Liberal Democracy,Europe,33741.2619,Liberal Democracy
France,2005,385000,0.803,Divided party control,Liberal Democracy,Europe,34760.1850,Liberal Democracy
France,2006,376000,0.803,Divided party control,Liberal Democracy,Europe,36443.6263,Liberal Democracy
France,2007,369000,0.811,Unified party control,Liberal Democracy,Europe,41508.4327,Liberal Democracy
France,2008,366000,0.819,Unified party control,Liberal Democracy,Europe,45334.1180,Liberal Democracy
France,2009,352000,0.819,Unified party control,Liberal Democracy,Europe,41575.4220,Liberal Democracy
France,2010,353000,0.819,Unified party control,Liberal Democracy,Europe,40638.3353,Liberal Democracy
France,2011,332000,0.820,Unified party control,Liberal Democracy,Europe,43790.7260,Liberal Democracy
France,2012,333000,0.822,Unified party control,Liberal Democracy,Europe,40874.7004,Liberal Democracy
France,2013,334000,0.820,Unified party control,Liberal Democracy,Europe,42592.9354,Liberal Democracy
France,2014,303000,0.815,Unified party control,Liberal Democracy,Europe,43011.2631,Liberal Democracy
Gabon,1991,4540,0.183,Unified party control,Closed Autocracy,Africa,5536.9984,Closed Autocracy
Gabon,1992,4930,0.199,Unified party control,Closed Autocracy,Africa,5578.0386,Closed Autocracy
Gabon,1993,4990,0.199,Unified party control,Electoral Autocracy,Africa,4252.0653,Electoral Autocracy
Gabon,1994,4390,0.201,Unified party control,Electoral Autocracy,Africa,3963.8793,Electoral Autocracy
Gabon,1995,4620,0.201,Unified party control,Electoral Autocracy,Africa,4570.5713,Electoral Autocracy
Gabon,1996,4770,0.202,Unified party control,Electoral Autocracy,Africa,5116.1966,Electoral Autocracy
Gabon,1997,4800,0.206,Unified party control,Electoral Autocracy,Africa,4667.1931,Electoral Autocracy
Gabon,1998,4980,0.206,Unified party control,Electoral Autocracy,Africa,3831.7807,Electoral Autocracy
Gabon,1999,4810,0.205,Unified party control,Electoral Autocracy,Africa,3888.8795,Electoral Autocracy
Gabon,2000,4690,0.200,Unified party control,Electoral Autocracy,Africa,4135.9924,Electoral Autocracy
Gabon,2001,4800,0.201,Unified party control,Electoral Autocracy,Africa,3993.0313,Electoral Autocracy
Gabon,2002,4570,0.204,Unified party control,Electoral Autocracy,Africa,4141.4344,Electoral Autocracy
Gabon,2003,4640,0.204,Unified party control,Electoral Autocracy,Africa,4933.4622,Electoral Autocracy
Gabon,2004,4690,0.204,Unified party control,Electoral Autocracy,Africa,5739.6132,Electoral Autocracy
Gabon,2005,4890,0.204,Unified party control,Electoral Autocracy,Africa,6891.3619,Electoral Autocracy
Gabon,2006,4170,0.205,Unified party control,Electoral Autocracy,Africa,7221.3699,Electoral Autocracy
Gabon,2007,4120,0.205,Unified party control,Electoral Autocracy,Africa,8458.3092,Electoral Autocracy
Gabon,2008,4170,0.205,Unified party control,Electoral Autocracy,Africa,10254.1720,Electoral Autocracy
Gabon,2009,4250,0.206,Unified party control,Electoral Autocracy,Africa,7721.0190,Electoral Autocracy
Gabon,2010,4810,0.210,Unified party control,Electoral Autocracy,Africa,8849.3226,Electoral Autocracy
Gabon,2011,4970,0.210,Unified party control,Electoral Autocracy,Africa,10809.6850,Electoral Autocracy
Gabon,2012,5100,0.218,Unified party control,Electoral Autocracy,Africa,9813.5057,Electoral Autocracy
Gabon,2013,5280,0.231,Unified party control,Electoral Autocracy,Africa,9683.5816,Electoral Autocracy
Gabon,2014,5190,0.231,Unified party control,Electoral Autocracy,Africa,9663.4241,Electoral Autocracy
Gambia,1991,180,,,,,,
Gambia,1992,180,,,,,,
Gambia,1993,187,,,,,,
Gambia,1994,187,,,,,,
Gambia,1995,198,,,,,,
Gambia,1996,198,,,,,,
Gambia,1997,198,,,,,,
Gambia,1998,213,,,,,,
Gambia,1999,231,,,,,,
Gambia,2000,246,,,,,,
Gambia,2001,253,,,,,,
Gambia,2002,290,,,,,,
Gambia,2003,290,,,,,,
Gambia,2004,293,,,,,,
Gambia,2005,293,,,,,,
Gambia,2006,308,,,,,,
Gambia,2007,352,,,,,,
Gambia,2008,367,,,,,,
Gambia,2009,381,,,,,,
Gambia,2010,433,,,,,,
Gambia,2011,447,,,,,,
Gambia,2012,455,,,,,,
Gambia,2013,433,,,,,,
Gambia,2014,513,,,,,,
Georgia,1991,16800,0.139,Unified party control,Electoral Autocracy,Europe,,Electoral Autocracy
Georgia,1992,15300,0.099,Unified party control,Electoral Autocracy,Europe,,Electoral Autocracy
Georgia,1993,9950,0.162,Unified party control,Electoral Autocracy,Europe,547.3349,Electoral Autocracy
Georgia,1994,6080,0.165,Unified party control,Electoral Autocracy,Europe,519.8576,Electoral Autocracy
Georgia,1995,2300,0.172,Unified party control,Electoral Autocracy,Europe,578.3446,Electoral Autocracy
Georgia,1996,4070,0.211,Unified party control,Electoral Autocracy,Europe,689.0594,Electoral Autocracy
Georgia,1997,4440,0.210,Unified party control,Electoral Autocracy,Europe,807.0323,Electoral Autocracy
Georgia,1998,4960,0.214,Unified party control,Electoral Autocracy,Europe,851.5260,Electoral Autocracy
Georgia,1999,4350,0.215,Unified party control,Electoral Autocracy,Europe,673.5434,Electoral Autocracy
Georgia,2000,4540,0.210,Unified party control,Electoral Autocracy,Europe,749.9085,Electoral Autocracy
Georgia,2001,3770,0.213,Unified party control,Electoral Autocracy,Europe,801.9904,Electoral Autocracy
Georgia,2002,3390,0.213,Unified party control,Electoral Autocracy,Europe,853.5165,Electoral Autocracy
Georgia,2003,3770,0.215,Unified party control,Electoral Autocracy,Europe,1010.0080,Electoral Autocracy
Georgia,2004,4320,0.375,Unified party control,Electoral Democracy,Europe,1305.0475,Electoral Democracy
Georgia,2005,5070,0.395,Unified party control,Electoral Democracy,Europe,1642.7609,Electoral Democracy
Georgia,2006,6150,0.397,Unified party control,Electoral Democracy,Europe,1996.0571,Electoral Democracy
Georgia,2007,6420,0.390,Unified party control,Electoral Democracy,Europe,2635.3539,Electoral Democracy
Georgia,2008,5170,0.358,Unified party control,Electoral Democracy,Europe,3324.7359,Electoral Democracy
Georgia,2009,6240,0.352,Unified party control,Electoral Democracy,Europe,2822.6674,Electoral Democracy
Georgia,2010,6310,0.360,Unified party control,Electoral Democracy,Europe,3233.2959,Electoral Democracy
Georgia,2011,7970,0.359,Unified party control,Electoral Democracy,Europe,4021.7433,Electoral Democracy
Georgia,2012,8440,0.370,Unified party control,Electoral Democracy,Europe,4421.8182,Electoral Democracy
Georgia,2013,7860,0.475,Divided party control,Electoral Democracy,Europe,4623.7457,Electoral Democracy
Georgia,2014,8990,0.515,Divided party control,Electoral Democracy,Europe,4739.1883,Electoral Democracy
Germany,1991,930000,0.867,Unified coalition control,Liberal Democracy,Europe,23357.7577,Liberal Democracy
Germany,1992,892000,0.867,Unified coalition control,Liberal Democracy,Europe,26438.2304,Liberal Democracy
Germany,1993,878000,0.867,Unified coalition control,Liberal Democracy,Europe,25522.6296,Liberal Democracy
Germany,1994,866000,0.866,Unified coalition control,Liberal Democracy,Europe,27076.6068,Liberal Democracy
Germany,1995,864000,0.864,Unified coalition control,Liberal Democracy,Europe,31658.3494,Liberal Democracy
Germany,1996,890000,0.863,Unified coalition control,Liberal Democracy,Europe,30485.8666,Liberal Democracy
Germany,1997,862000,0.863,Unified coalition control,Liberal Democracy,Europe,26964.0495,Liberal Democracy
Germany,1998,855000,0.864,Unified coalition control,Liberal Democracy,Europe,27289.0594,Liberal Democracy
Germany,1999,822000,0.866,Unified coalition control,Liberal Democracy,Europe,26725.9152,Liberal Democracy
Germany,2000,830000,0.866,Unified coalition control,Liberal Democracy,Europe,23635.9292,Liberal Democracy
Germany,2001,854000,0.866,Unified coalition control,Liberal Democracy,Europe,23607.8829,Liberal Democracy
Germany,2002,830000,0.865,Unified coalition control,Liberal Democracy,Europe,25077.7291,Liberal Democracy
Germany,2003,823000,0.863,Unified coalition control,Liberal Democracy,Europe,30243.5765,Liberal Democracy
Germany,2004,817000,0.863,Unified coalition control,Liberal Democracy,Europe,34044.0536,Liberal Democracy
Germany,2005,797000,0.867,Unified coalition control,Liberal Democracy,Europe,34507.3688,Liberal Democracy
Germany,2006,816000,0.870,Unified coalition control,Liberal Democracy,Europe,36323.4477,Liberal Democracy
Germany,2007,781000,0.870,Unified coalition control,Liberal Democracy,Europe,41587.2129,Liberal Democracy
Germany,2008,781000,0.870,Unified coalition control,Liberal Democracy,Europe,45427.1517,Liberal Democracy
Germany,2009,722000,0.871,Unified coalition control,Liberal Democracy,Europe,41485.9017,Liberal Democracy
Germany,2010,759000,0.873,Unified coalition control,Liberal Democracy,Europe,41531.9342,Liberal Democracy
Germany,2011,732000,0.872,Unified coalition control,Liberal Democracy,Europe,46644.7760,Liberal Democracy
Germany,2012,740000,0.872,Unified coalition control,Liberal Democracy,Europe,43858.3631,Liberal Democracy
Germany,2013,757000,0.864,Unified coalition control,Liberal Democracy,Europe,46285.7641,Liberal Democracy
Germany,2014,720000,0.853,Unified coalition control,Liberal Democracy,Europe,47959.9933,Liberal Democracy
Gha,1991,3930,0.099,Unified coalition control,Closed Autocracy,Africa,433.7733,Closed Autocracy
Gha,1992,3980,0.108,Unified coalition control,Electoral Autocracy,Africa,409.7464,Electoral Autocracy
Gha,1993,4550,0.337,Unified coalition control,Electoral Autocracy,Africa,370.4195,Electoral Autocracy
Gha,1994,4950,0.396,Unified coalition control,Electoral Autocracy,Africa,328.7445,Electoral Autocracy
Gha,1995,5280,0.404,Unified coalition control,Electoral Autocracy,Africa,379.9880,Electoral Autocracy
Gha,1996,5610,0.424,Unified coalition control,Electoral Democracy,Africa,397.1358,Electoral Democracy
Gha,1997,6370,0.507,Unified coalition control,Electoral Democracy,Africa,384.7963,Electoral Democracy
Gha,1998,6400,0.507,Unified coalition control,Electoral Democracy,Africa,407.5232,Electoral Democracy
Gha,1999,6550,0.507,Unified coalition control,Electoral Democracy,Africa,410.3340,Electoral Democracy
Gha,2000,6290,0.537,Divided party control,Electoral Democracy,Africa,258.4710,Electoral Democracy
Gha,2001,6920,0.613,Divided party control,Electoral Democracy,Africa,269.0150,Electoral Democracy
Gha,2002,7420,0.620,Divided party control,Electoral Democracy,Africa,304.5646,Electoral Democracy
Gha,2003,7630,0.623,Divided party control,Liberal Democracy,Africa,367.8214,Liberal Democracy
Gha,2004,7350,0.622,Divided party control,Liberal Democracy,Africa,417.5081,Liberal Democracy
Gha,2005,6990,0.619,Divided party control,Liberal Democracy,Africa,492.5441,Liberal Democracy
Gha,2006,9360,0.619,Divided party control,Liberal Democracy,Africa,913.3938,Liberal Democracy
Gha,2007,9830,0.619,Divided party control,Liberal Democracy,Africa,1081.1663,Liberal Democracy
Gha,2008,9140,0.622,Divided party control,Liberal Democracy,Africa,1217.0644,Liberal Democracy
Gha,2009,7710,0.650,Divided party control,Liberal Democracy,Africa,1077.6621,Liberal Democracy
Gha,2010,9960,0.664,Divided party control,Liberal Democracy,Africa,1299.3452,Liberal Democracy
Gha,2011,9830,0.664,Divided party control,Liberal Democracy,Africa,1549.4627,Liberal Democracy
Gha,2012,11900,0.656,Divided party control,Liberal Democracy,Africa,1587.5609,Liberal Democracy
Gha,2013,14600,0.622,Divided party control,Liberal Democracy,Africa,2361.0903,Liberal Democracy
Gha,2014,14500,0.613,Divided party control,Liberal Democracy,Africa,1899.6683,Liberal Democracy
Greece,1991,74100,0.797,Unified party control,Liberal Democracy,Europe,10188.3698,Liberal Democracy
Greece,1992,75500,0.799,Unified party control,Liberal Democracy,Europe,11176.4584,Liberal Democracy
Greece,1993,75700,0.801,Unified party control,Liberal Democracy,Europe,10401.9830,Liberal Democracy
Greece,1994,77900,0.807,Unified party control,Liberal Democracy,Europe,11091.2839,Liberal Democracy
Greece,1995,78800,0.808,Unified party control,Liberal Democracy,Europe,12959.3243,Liberal Democracy
Greece,1996,80200,0.807,Unified party control,Liberal Democracy,Europe,13749.1151,Liberal Democracy
Greece,1997,83700,0.806,Unified party control,Liberal Democracy,Europe,13427.8325,Liberal Democracy
Greece,1998,87800,0.806,Unified party control,Liberal Democracy,Europe,13472.1376,Liberal Democracy
Greece,1999,86600,0.806,Unified party control,Liberal Democracy,Europe,13245.1894,Liberal Democracy
Greece,2000,91600,0.807,Unified party control,Liberal Democracy,Europe,12042.9537,Liberal Democracy
Greece,2001,93800,0.815,Unified party control,Liberal Democracy,Europe,12538.1789,Liberal Democracy
Greece,2002,93700,0.815,Unified party control,Liberal Democracy,Europe,14110.3134,Liberal Democracy
Greece,2003,95700,0.815,Unified party control,Liberal Democracy,Europe,18477.5784,Liberal Democracy
Greece,2004,97100,0.814,Unified party control,Liberal Democracy,Europe,21955.1041,Liberal Democracy
Greece,2005,98700,0.814,Unified party control,Liberal Democracy,Europe,22551.7358,Liberal Democracy
Greece,2006,97300,0.812,Unified party control,Liberal Democracy,Europe,24801.1578,Liberal Democracy
Greece,2007,98200,0.811,Unified party control,Liberal Democracy,Europe,28827.3264,Liberal Democracy
Greece,2008,96000,0.816,Unified party control,Liberal Democracy,Europe,31997.2820,Liberal Democracy
Greece,2009,91900,0.817,Unified party control,Liberal Democracy,Europe,29710.9702,Liberal Democracy
Greece,2010,83900,0.821,Unified party control,Liberal Democracy,Europe,26690.6074,Liberal Democracy
Greece,2011,79800,0.823,Divided party control,Liberal Democracy,Europe,25450.5341,Liberal Democracy
Greece,2012,80000,0.821,Unified coalition control,Liberal Democracy,Europe,21915.1913,Liberal Democracy
Greece,2013,69500,0.818,Unified coalition control,Liberal Democracy,Europe,21749.1525,Liberal Democracy
Greece,2014,67300,0.821,Unified coalition control,Liberal Democracy,Europe,21601.7764,Liberal Democracy
Greda,1991,110,,,,,3117.8898,
Greda,1992,117,,,,,3192.2319,
Greda,1993,121,,,,,3153.8183,
Greda,1994,143,,,,,3272.5534,
Greda,1995,150,,,,,3411.9670,
Greda,1996,154,,,,,3632.6787,
Greda,1997,169,,,,,3861.3978,
Greda,1998,176,,,,,4370.6183,
Greda,1999,194,,,,,4705.7901,
Greda,2000,191,,,,,5056.9773,
Greda,2001,194,,,,,5041.0122,
Greda,2002,205,,,,,5213.7956,
Greda,2003,216,,,,,5682.7054,
Greda,2004,205,,,,,5741.6537,
Greda,2005,216,,,,,6645.9855,
Greda,2006,231,,,,,6658.2236,
Greda,2007,238,,,,,7212.9868,
Greda,2008,253,,,,,7832.3491,
Greda,2009,253,,,,,7290.8349,
Greda,2010,260,,,,,7258.1666,
Greda,2011,253,,,,,7291.7417,
Greda,2012,271,,,,,7444.0891,
Greda,2013,304,,,,,7789.6324,
Greda,2014,242,,,,,8370.0405,
Guatemala,1991,5050,0.218,Divided party control,Electoral Autocracy,Americas,1011.7550,Electoral Autocracy
Guatemala,1992,6020,0.218,Divided party control,Electoral Autocracy,Americas,1093.9629,Electoral Autocracy
Guatemala,1993,5660,0.226,Divided party control,Electoral Autocracy,Americas,1164.3740,Electoral Autocracy
Guatemala,1994,6840,0.242,Divided party control,Electoral Autocracy,Americas,1293.4702,Electoral Autocracy
Guatemala,1995,7170,0.248,Divided party control,Electoral Autocracy,Americas,1424.6825,Electoral Autocracy
Guatemala,1996,6650,0.266,Unified party control,Electoral Autocracy,Americas,1487.6077,Electoral Autocracy
Guatemala,1997,7600,0.302,Unified party control,Electoral Democracy,Americas,1649.0016,Electoral Democracy
Guatemala,1998,8750,0.303,Unified party control,Electoral Democracy,Americas,1755.8496,Electoral Democracy
Guatemala,1999,8930,0.306,Unified party control,Electoral Democracy,Americas,1619.5107,Electoral Democracy
Guatemala,2000,9920,0.377,Divided party control,Electoral Democracy,Americas,1664.2990,Electoral Democracy
Guatemala,2001,10600,0.377,Divided party control,Electoral Democracy,Americas,1550.3604,Electoral Democracy
Guatemala,2002,11100,0.380,Divided party control,Electoral Democracy,Americas,1682.9945,Electoral Democracy
Guatemala,2003,10800,0.382,Divided party control,Electoral Democracy,Americas,1737.8793,Electoral Democracy
Guatemala,2004,11600,0.401,Divided party control,Electoral Democracy,Americas,1859.0984,Electoral Democracy
Guatemala,2005,12600,0.399,Divided party control,Electoral Democracy,Americas,2068.5001,Electoral Democracy
Guatemala,2006,12600,0.400,Divided party control,Electoral Democracy,Americas,2251.0880,Electoral Democracy
Guatemala,2007,12600,0.406,Divided party control,Electoral Democracy,Americas,2490.7491,Electoral Democracy
Guatemala,2008,11400,0.411,Divided party control,Electoral Democracy,Americas,2802.4620,Electoral Democracy
Guatemala,2009,11900,0.410,Divided party control,Electoral Democracy,Americas,2651.8171,Electoral Democracy
Guatemala,2010,11700,0.413,Divided party control,Electoral Democracy,Americas,2852.5473,Electoral Democracy
Guatemala,2011,11800,0.408,Divided party control,Electoral Democracy,Americas,3228.0457,Electoral Democracy
Guatemala,2012,12000,0.399,Divided party control,Electoral Democracy,Americas,3355.0369,Electoral Democracy
Guatemala,2013,13600,0.426,Divided party control,Electoral Democracy,Americas,3522.7737,Electoral Democracy
Guatemala,2014,18300,0.427,Divided party control,Electoral Democracy,Americas,3779.6423,Electoral Democracy
Guinea,1991,1030,0.078,Unified party control,Closed Autocracy,Africa,461.3753,Closed Autocracy
Guinea,1992,1060,0.082,Unified party control,Closed Autocracy,Africa,489.0716,Closed Autocracy
Guinea,1993,1090,0.083,Unified party control,Closed Autocracy,Africa,475.4263,Closed Autocracy
Guinea,1994,1250,0.106,Unified party control,Electoral Autocracy,Africa,477.7625,Electoral Autocracy
Guinea,1995,1290,0.106,Unified party control,Electoral Autocracy,Africa,508.1015,Electoral Autocracy
Guinea,1996,1360,0.109,Unified party control,Electoral Autocracy,Africa,518.3657,Electoral Autocracy
Guinea,1997,1420,0.106,Unified party control,Electoral Autocracy,Africa,493.8222,Electoral Autocracy
Guinea,1998,1500,0.107,Unified party control,Electoral Autocracy,Africa,456.4915,Electoral Autocracy
Guinea,1999,1580,0.109,Unified party control,Electoral Autocracy,Africa,429.7197,Electoral Autocracy
